,manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_type,engine_capacity,body_type,has_warranty,state,price_usd,number_of_photos
0,Subaru,Outback,automatic,silver,190000,2010,gasoline,2.5,universal,False,owned,10900.0,9
1,Subaru,Outback,automatic,blue,290000,2002,gasoline,3.0,universal,False,owned,5000.0,12
2,Subaru,Forester,automatic,red,402000,2001,gasoline,2.5,suv,False,owned,2800.0,4
3,Subaru,Impreza,mechanical,blue,10000,1999,gasoline,3.0,sedan,False,owned,9999.0,9
4,Subaru,Legacy,automatic,black,280000,2001,gasoline,2.5,universal,False,owned,2134.11,14
5,Subaru,Outback,automatic,silver,132449,2011,gasoline,2.5,universal,False,owned,14700.0,20
6,Subaru,Forester,automatic,black,318280,1998,gasoline,2.5,universal,False,owned,3000.0,8
7,Subaru,Legacy,automatic,silver,350000,2004,gasoline,2.5,sedan,False,owned,4500.0,7
8,Subaru,Outback,automatic,grey,179000,2010,gasoline,2.5,universal,False,owned,12900.0,17
9,Subaru,Forester,automatic,silver,571317,1999,gasoline,2.5,universal,False,owned,4200.0,8
10,Subaru,Forester,mechanical,other,280000,2003,gasoline,2.0,suv,False,owned,6900.0,14
11,Subaru,Tribeca,automatic,grey,256000,2008,gasoline,3.6,suv,False,owned,8350.0,18
12,Subaru,Forester,mechanical,other,321000,2002,gasoline,2.0,suv,False,owned,4300.0,13
13,Subaru,Justy,mechanical,red,49999,2001,gasoline,1.3,hatchback,False,owned,1666.0,8
14,Subaru,Outback,automatic,brown,154685,2011,gasoline,2.5,universal,False,owned,8600.0,24
15,Subaru,Outback,automatic,black,163219,2004,gasoline,2.0,universal,False,owned,7300.0,17
16,Subaru,Outback,automatic,other,318650,2005,gasoline,3.0,universal,False,owned,7587.97,7
17,Subaru,Impreza,mechanical,blue,191000,2005,gasoline,2.0,sedan,False,owned,10950.0,12
18,Subaru,Forester,automatic,silver,179000,2014,gasoline,2.0,suv,False,owned,12700.0,14
19,Subaru,Forester,automatic,black,159000,2013,gasoline,2.0,suv,False,owned,16500.0,6
